run_id,metric,country,provider,product,sampling_run_id,region,alpha2_code,metric_value,metric_value_lower,metric_value_upper,week,Run_Type,region_name,run_date_dynamic,run_date_string,year,date,incremental_column,Measurement
20250526-18365577,SSF,KWT,Orbis,25220.000 ON,20220602-0001,{},kw,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,KWT,Orbis,25220.000 ON,20220602-0001,{},kw,83.5,81,85.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,KEN,Orbis,25220.000 ON,20220602-0001,{},ke,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,KEN,Orbis,25220.000 ON,20220602-0001,{},ke,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,KEN,Orbis,25220.000 ON,20220602-0001,{},ke,3.5,0,10.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,KEN,Orbis,25220.000 ON,20220602-0001,{},ke,0.2,0,0.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,KAZ,Orbis,25220.000 ON,20220602-0001,{},kz,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,KAZ,Orbis,25220.000 ON,20220602-0001,{},kz,30.3,24.3,36.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,JOR,Orbis,25220.000 ON,20240109-0001,{},jo,73.2,68.6,77.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,JOR,Orbis,25220.000 ON,20240109-0001,{},jo,59.6,55.8,63.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,JOR,Orbis,25220.000 ON,20240109-0001,{},jo,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,JOR,Orbis,25220.000 ON,20240109-0001,{},jo,62.1,57.7,66.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ITA,Orbis,25220.000 ON,20220602-0001,{},it,98,97.4,98.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ITA,Orbis,25220.000 ON,20220602-0001,{},it,97.2,96.7,97.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ITA,Orbis,25220.000 ON,20220602-0001,{},it,94,93.3,94.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ITA,Orbis,25220.000 ON,20220602-0001,{},it,85.7,84.6,86.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ISR,Orbis,25220.000 ON,20220602-0001,{},il,50.2,25,75,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ISR,Orbis,25220.000 ON,20220602-0001,{},il,74.9,50,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ISR,Orbis,25220.000 ON,20220602-0001,{},il,88.7,86.6,90.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ISR,Orbis,25220.000 ON,20220602-0001,{},il,75.9,73.2,78.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ISL,Orbis,25220.000 ON,20220602-0001,{},is,96.3,95.6,97,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ISL,Orbis,25220.000 ON,20220602-0001,{},is,94.7,93.8,95.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ISL,Orbis,25220.000 ON,20220602-0001,{},is,96.4,93.8,98.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ISL,Orbis,25220.000 ON,20220602-0001,{},is,99.6,99.2,99.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,IRL,Orbis,25220.000 ON,20220602-0001,{},ie,86.2,83.8,88.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,IRL,Orbis,25220.000 ON,20220602-0001,{},ie,96,94.8,97.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,IRL,Orbis,25220.000 ON,20220602-0001,{},ie,90.8,89.7,91.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,IRL,Orbis,25220.000 ON,20220602-0001,{},ie,94.6,93.8,95.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,IND,Orbis,25220.000 ON,20220602-0001,{},in,96.6,95.6,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,IND,Orbis,25220.000 ON,20220602-0001,{},in,74.2,72.1,76.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,IND,Orbis,25220.000 ON,20220602-0001,{},in,26.5,23,30.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,IND,Orbis,25220.000 ON,20220602-0001,{},in,32.7,30.7,34.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,IDN,Orbis,25220.000 ON,20220602-0001,{},id,60.6,56.8,64.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,IDN,Orbis,25220.000 ON,20220602-0001,{},id,92.7,91,94.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,IDN,Orbis,25220.000 ON,20220602-0001,{},id,89.3,87.4,91.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,IDN,Orbis,25220.000 ON,20220602-0001,{},id,51.7,49,54.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,HUN,Orbis,25220.000 ON,20220602-0001,{},hu,95.1,94.3,95.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,HUN,Orbis,25220.000 ON,20220602-0001,{},hu,82.3,80.8,83.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,HUN,Orbis,25220.000 ON,20220602-0001,{},hu,97.1,96.2,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,HUN,Orbis,25220.000 ON,20220602-0001,{},hu,97.1,96.4,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,HRV,Orbis,25220.000 ON,20220602-0001,{},hr,92.6,90,95.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,HRV,Orbis,25220.000 ON,20220602-0001,{},hr,91,89.2,92.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,HRV,Orbis,25220.000 ON,20220602-0001,{},hr,88.4,87.1,89.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,HRV,Orbis,25220.000 ON,20220602-0001,{},hr,91.4,90.3,92.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,HKG,Orbis,25220.000 ON,20220602-0001,{},hk,75.4,73.7,77.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,HKG,Orbis,25220.000 ON,20220602-0001,{},hk,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,HKG,Orbis,25220.000 ON,20220602-0001,{},hk,94,91.3,96.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,HKG,Orbis,25220.000 ON,20220602-0001,{},hk,93.8,92.9,94.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,GUF,Orbis,25220.000 ON,20240109-0001,{},gf,82.4,76.3,88.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,GUF,Orbis,25220.000 ON,20240109-0001,{},gf,48.5,42.5,54,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,GUF,Orbis,25220.000 ON,20240109-0001,{},gf,95.8,87.5,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,GUF,Orbis,25220.000 ON,20240109-0001,{},gf,78.9,73.5,84.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,GRC,Orbis,25220.000 ON,20220602-0001,{},gr,83,81.3,84.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,GRC,Orbis,25220.000 ON,20220602-0001,{},gr,90.2,88.8,91.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,GRC,Orbis,25220.000 ON,20220602-0001,{},gr,83.1,80.9,85.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,GRC,Orbis,25220.000 ON,20220602-0001,{},gr,83.7,82.1,85.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,GLP,Orbis,25220.000 ON,20220602-0001,{},gp,92,90.8,93.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,GLP,Orbis,25220.000 ON,20220602-0001,{},gp,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,GLP,Orbis,25220.000 ON,20220602-0001,{},gp,94.3,93.2,95.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,GLP,Orbis,25220.000 ON,20220602-0001,{},gp,92.4,91.2,93.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,GBR,Orbis,25220.000 ON,20220602-0001,{},gb,97.6,97,98.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,GBR,Orbis,25220.000 ON,20220602-0001,{},gb,97,96.4,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,GBR,Orbis,25220.000 ON,20220602-0001,{},gb,92.4,91.4,93.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,GBR,Orbis,25220.000 ON,20220602-0001,{},gb,87.4,86,88.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,FRA,Orbis,25220.000 ON,20220602-0001,{},fr,98.3,97.7,98.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,FRA,Orbis,25220.000 ON,20220602-0001,{},fr,96.1,95.5,96.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,FRA,Orbis,25220.000 ON,20220602-0001,{},fr,96.2,95.6,96.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,FRA,Orbis,25220.000 ON,20220602-0001,{},fr,87.7,86.6,88.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,FIN,Orbis,25220.000 ON,20220602-0001,{},fi,95.1,94.3,95.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,FIN,Orbis,25220.000 ON,20220602-0001,{},fi,94.2,92.9,95.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,FIN,Orbis,25220.000 ON,20220602-0001,{},fi,98.5,98,99,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,FIN,Orbis,25220.000 ON,20220602-0001,{},fi,81.8,80.4,83.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,EST,Orbis,25220.000 ON,20220602-0001,{},ee,89.7,88.5,90.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,EST,Orbis,25220.000 ON,20220602-0001,{},ee,98.3,97.5,99,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,EST,Orbis,25220.000 ON,20220602-0001,{},ee,97.6,96.8,98.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,EST,Orbis,25220.000 ON,20220602-0001,{},ee,96.4,95.7,97.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ESP,Orbis,25220.000 ON,20220602-0001,{},es,86.5,85.4,87.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ESP,Orbis,25220.000 ON,20220602-0001,{},es,97.9,97.4,98.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ESP,Orbis,25220.000 ON,20220602-0001,{},es,96.1,95.5,96.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ESP,Orbis,25220.000 ON,20220602-0001,{},es,91.1,90.3,91.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,EGY,Orbis,25220.000 ON,20220602-0001,{},eg,45.9,41.5,50,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,EGY,Orbis,25220.000 ON,20220602-0001,{},eg,5.8,2,9.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,EGY,Orbis,25220.000 ON,20220602-0001,{},eg,66.6,59.9,73,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,EGY,Orbis,25220.000 ON,20220602-0001,{},eg,54.9,51.7,58.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,DZA,Orbis,25220.000 ON,20220602-0001,{},dz,49.4,46.9,52,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,DZA,Orbis,25220.000 ON,20220602-0001,{},dz,74.6,68.6,81.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,DZA,Orbis,25220.000 ON,20220602-0001,{},dz,76.7,72.7,80.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,DZA,Orbis,25220.000 ON,20220602-0001,{},dz,47.1,43.1,50.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,DNK,Orbis,25220.000 ON,20220602-0001,{},dk,97,96.3,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,DNK,Orbis,25220.000 ON,20220602-0001,{},dk,94.4,93.5,95.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,DNK,Orbis,25220.000 ON,20220602-0001,{},dk,94.5,93.3,95.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,DNK,Orbis,25220.000 ON,20220602-0001,{},dk,98.3,97.8,98.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,DEU,Orbis,25220.000 ON,20220602-0001,{},de,98.1,97.5,98.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,DEU,Orbis,25220.000 ON,20220602-0001,{},de,96.2,95.4,96.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,DEU,Orbis,25220.000 ON,20220602-0001,{},de,97,96.3,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,DEU,Orbis,25220.000 ON,20220602-0001,{},de,87.7,86.4,89,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,CZE,Orbis,25220.000 ON,20220602-0001,{},cz,90.9,88.8,93,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,CZE,Orbis,25220.000 ON,20220602-0001,{},cz,97,96.3,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,CZE,Orbis,25220.000 ON,20220602-0001,{},cz,92.1,91,93.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,CZE,Orbis,25220.000 ON,20220602-0001,{},cz,94.4,93.5,95.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,CYP,Orbis,25220.000 ON,20220602-0001,{},cy,70.5,67.9,72.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,CYP,Orbis,25220.000 ON,20220602-0001,{},cy,44.8,41.5,48,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,CYP,Orbis,25220.000 ON,20220602-0001,{},cy,97.7,96.4,99,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,CYP,Orbis,25220.000 ON,20220602-0001,{},cy,89.7,87,92.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,COL,Orbis,25220.000 ON,20220602-0001,{},co,65.7,64,67.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,COL,Orbis,25220.000 ON,20220602-0001,{},co,96.9,96.3,97.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,COL,Orbis,25220.000 ON,20220602-0001,{},co,66.7,59.8,73.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,COL,Orbis,25220.000 ON,20220602-0001,{},co,98.6,97.2,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,CHL,Orbis,25220.000 ON,20220602-0001,{},cl,82.4,81,83.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,CHL,Orbis,25220.000 ON,20220602-0001,{},cl,51.9,45.9,57.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,CHL,Orbis,25220.000 ON,20220602-0001,{},cl,96.8,94.8,98.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,CHL,Orbis,25220.000 ON,20220602-0001,{},cl,86.7,85.4,88,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,CHE,Orbis,25220.000 ON,20220602-0001,{},ch,94.7,93.8,95.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,CHE,Orbis,25220.000 ON,20220602-0001,{},ch,96.8,96.1,97.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,CHE,Orbis,25220.000 ON,20220602-0001,{},ch,96.1,95.1,97.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,CHE,Orbis,25220.000 ON,20220602-0001,{},ch,97.9,97.3,98.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,CAN,Orbis,25220.000 ON,20220602-0001,{},ca,88.5,85.5,91.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,CAN,Orbis,25220.000 ON,20220602-0001,{},ca,94.3,91.9,96.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,CAN,Orbis,25220.000 ON,20220602-0001,{},ca,89.9,89,90.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,CAN,Orbis,25220.000 ON,20220602-0001,{},ca,97.3,96.8,97.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BRN,Orbis,25220.000 ON,20240109-0001,{},bn,59.9,54.5,65.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BRN,Orbis,25220.000 ON,20240109-0001,{},bn,73.5,66.9,79.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BRN,Orbis,25220.000 ON,20240109-0001,{},bn,81.2,77.9,84.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BRN,Orbis,25220.000 ON,20240109-0001,{},bn,55.4,51.5,59.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BRA,Orbis,25220.000 ON,20220602-0001,{},br,82.9,81.8,84,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BRA,Orbis,25220.000 ON,20220602-0001,{},br,93.7,92.3,95.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BRA,Orbis,25220.000 ON,20220602-0001,{},br,95.4,94.1,96.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BRA,Orbis,25220.000 ON,20220602-0001,{},br,75.2,73.8,76.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BLR,Orbis,25220.000 ON,20220602-0001,{},by,71.7,69.8,73.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BLR,Orbis,25220.000 ON,20220602-0001,{},by,81.7,78.1,85.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BLR,Orbis,25220.000 ON,20220602-0001,{},by,95.9,94.4,97.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BLR,Orbis,25220.000 ON,20220602-0001,{},by,83.2,81.7,84.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BIH,Orbis,25220.000 ON,20220602-0001,{},ba,69.7,66.3,72.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BIH,Orbis,25220.000 ON,20220602-0001,{},ba,81.1,62.5,93.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BIH,Orbis,25220.000 ON,20220602-0001,{},ba,89.1,78.6,96.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BIH,Orbis,25220.000 ON,20220602-0001,{},ba,72.7,70,75.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BGR,Orbis,25220.000 ON,20220602-0001,{},bg,90.3,88.9,91.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BGR,Orbis,25220.000 ON,20220602-0001,{},bg,96.7,95.1,98.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BGR,Orbis,25220.000 ON,20220602-0001,{},bg,93.6,92.4,94.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BGR,Orbis,25220.000 ON,20220602-0001,{},bg,92.3,91.1,93.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,BEL,Orbis,25220.000 ON,20220602-0001,{},be,95.5,94.3,96.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,BEL,Orbis,25220.000 ON,20220602-0001,{},be,98.7,98.3,99.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,BEL,Orbis,25220.000 ON,20220602-0001,{},be,92.7,91.8,93.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,BEL,Orbis,25220.000 ON,20220602-0001,{},be,96.6,96,97.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,AUT,Orbis,25220.000 ON,20220602-0001,{},at,94.6,93.7,95.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,AUT,Orbis,25220.000 ON,20220602-0001,{},at,97.6,96.5,98.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,AUT,Orbis,25220.000 ON,20220602-0001,{},at,97.9,97.2,98.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,AUT,Orbis,25220.000 ON,20220602-0001,{},at,92,90.8,93.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,AUS,Orbis,25220.000 ON,20220602-0001,{},au,94.3,93.4,95.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,AUS,Orbis,25220.000 ON,20220602-0001,{},au,97,96,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,AUS,Orbis,25220.000 ON,20220602-0001,{},au,97.5,96.9,98.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,AUS,Orbis,25220.000 ON,20220602-0001,{},au,97.4,96.7,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ARG,Orbis,25220.000 ON,20220602-0001,{},ar,89.1,87.8,90.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ARG,Orbis,25220.000 ON,20220602-0001,{},ar,70.2,65.6,74.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ARG,Orbis,25220.000 ON,20220602-0001,{},ar,97,95.2,98.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ARG,Orbis,25220.000 ON,20220602-0001,{},ar,88.6,87.1,90,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ARE,Orbis,25220.000 ON,20220602-0001,{},ae,78.3,76.5,79.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ARE,Orbis,25220.000 ON,20220602-0001,{},ae,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ARE,Orbis,25220.000 ON,20220602-0001,{},ae,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
